date,name,tier,lp,score
2025-05-11,날씨가너무덥네요#KR1,Emerald III,21,21.21
2025-06-01,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-06-03,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-06-06,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-07-12,날씨가너무덥네요#KR1,Platinum I,75,19.75
2025-07-25,날씨가너무덥네요#KR1,Platinum II,75,18.75
2025-08-27,날씨가너무덥네요#KR1,Platinum I,12,19.12
2025-09-10,날씨가너무덥네요#KR1,Emerald IV,22,20.22
2025-09-27,날씨가너무덥네요#KR1,Emerald III,29,21.29
2025-09-30,날씨가너무덥네요#KR1,Emerald II,20,22.2
2025-10-06,날씨가너무덥네요#KR1,Emerald I,13,23.13
2025-10-12,날씨가너무덥네요#KR1,Emerald II,84,22.84
2025-10-13,날씨가너무덥네요#KR1,Emerald I,6,23.06
2025-10-17,날씨가너무덥네요#KR1,Emerald II,82,22.82
2025-10-26,날씨가너무덥네요#KR1,Emerald III,85,21.85
2025-11-19,날씨가너무덥네요#KR1,Emerald IV,99,20.99
2026-01-01,날씨가너무덥네요#KR1,Emerald IV,90,20.9
2026-01-05,날씨가너무덥네요#KR1,Platinum I,47,19.47

